Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAR26 progress (%),Sector
148,618992,100 MW SPP part of SECI 150 MW Hybrid,(NLC India Limited [NLCIL]),Gujarat,07/2022,04/2024,,12/2026,-,480.68,480.68,2.57,1.0,Electricity Generation
149,400231,NLC Talabira Thermal Power Project,(NLC India Limited [NLCIL]),Odisha,01/2017,01/2024,,03/2030,-,27212.96,27213.0,2819.83,1.0,Electricity Generation
150,612819,300 MW SPP part of 510 MW CPSU scheme,(NLC India Limited [NLCIL]),Rajasthan,07/2022,03/2023,,09/2024,12/2025,1813.0,1813.0,1752.16,100.0,Electricity Generation
151,615327,50 MW Solar PP Minedout Area,(NLC India Limited [NLCIL]),Tamil Nadu,08/2023,02/2024,,03/2025,12/2025,218.03,218.03,166.55,100.0,Electricity Generation
152,400259,Ghatampur Thermal Power Plant 3 X 660 MW,(NLC India Limited [NLCIL]),Uttar Pradesh,07/2016,08/2016,,11/2020,03/2026,17237.8,21780.9,20991.24,94.0,Electricity Generation
153,400203,Dharamjaigarh-Korba,(Railway),Chhattisgarh,05/2018,03/2017,,12/2026,08/2026,1686.22,2438.53,561.94,43.0,Railways
154,400416,Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia line],(Ministry of Coal),Jharkhand,02/2018,05/2022,,06/2025,06/2026,1799.64,2564.34,1663.13,66.0,Railways
155,400192,Tubed Coal Mine,(Damodar Valley Corporation),Jharkhand,07/2016,10/2016,,05/2026,05/2026,1581.0,1581.0,600.3,36.0,Coal
156,603293,Badam Coal Mining project of NTPC,(National Thermal Power Corporation [NTPC]),Jharkhand,02/2019,09/2019,,12/2056,04/2027,502.0,784.0,406.86,59.0,Coal
157,602182,Dibang Multipurpose Project,(National Hydroelectric Power Corporation Limited [NHPC]),Arunachal Pradesh,02/2023,02/2023,,02/2032,02/2032,31876.39,31876.4,4119.07,17.0,Electricity Generation
158,611698,240MW Heo HE Project,(North Eastern Electric Power Corporation Limited),Arunachal Pradesh,12/2024,05/2025,,07/2029,-,1938.85,1938.85,84.53,3.0,Electricity Generation
159,611699,186 MW Tato-I H E Project,(North Eastern Electric Power Corporation Limited),Arunachal Pradesh,12/2024,05/2025,,07/2029,-,1750.07,1750.07,61.5,2.0,Electricity Generation
160,602579,Buxar Thermal Power Project [1320 MW],(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),Bihar,03/2019,06/2019,,01/2024,12/2025,10439.09,13756.6,13126.94,93.0,Electricity Generation
161,619051,"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]",(National Thermal Power Corporation [NTPC]),Bihar,11/2024,03/2025,,07/2030,-,29948.0,29948.0,2034.24,7.0,Electricity Generation
162,611930,Lara Super Thermal Power Project Stage-II [2 x 800 MW],(National Thermal Power Corporation [NTPC]),Chhattisgarh,08/2023,08/2023,,06/2028,09/2028,15530.0,16106.0,3962.22,25.0,Electricity Generation
163,617188,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]",(National Thermal Power Corporation [NTPC]),Chhattisgarh,09/2024,09/2024,,09/2029,-,9791.0,9791.0,1277.85,10.0,Electricity Generation
164,709747,Bagodara Solar Power Project,(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),Gujarat,03/2021,05/2021,,12/2025,12/2025,339.35,339.35,317.59,51.0,Electricity Generation
165,602582,Dhaulasidh Hydro Electric Project [66 MW],(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),Himachal Pradesh,10/2020,05/2021,,11/2025,03/2027,687.97,1561.21,1060.23,74.0,Electricity Generation
166,602593,Luhri Stage-I Hydro Electric Project [210 MW],(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),Himachal Pradesh,11/2020,11/2020,,01/2026,02/2030,1810.56,4681.64,1892.43,51.0,Electricity Generation
167,602633,382 MW Sunni Dam HEP,(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),Himachal Pradesh,,04/2018,,03/2027,-,2615.0,2615.0,495.57,0.5,Electricity Generation
168,611586,Sunni Dam Hydro Electric Project [382 MW],(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),Himachal Pradesh,01/2023,01/2023,,04/2028,12/2029,2614.51,4925.87,1052.48,33.0,Electricity Generation
169,602525,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW",(National Hydroelectric Power Corporation Limited [NHPC]),Jammu and Kashmir,10/2014,02/2018,,04/2020,12/2026,8112.12,12728.0,8638.59,79.0,Electricity Generation
170,602532,Kiru HE Project,(National Hydroelectric Power Corporation Limited [NHPC]),Jammu and Kashmir,03/2019,02/2020,,09/2023,12/2026,4287.59,5409.0,3558.91,80.0,Electricity Generation
171,602535,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.",(National Hydroelectric Power Corporation Limited [NHPC]),Jammu and Kashmir,02/2021,01/2022,,02/2026,11/2028,5281.94,5281.94,1469.04,27.0,Electricity Generation
172,605155,Kwar HE Project,(National Hydroelectric Power Corporation Limited [NHPC]),Jammu and Kashmir,05/2022,11/2022,,11/2026,03/2028,4526.12,4526.12,1337.91,29.0,Electricity Generation
173,400261,Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW],(National Thermal Power Corporation [NTPC]),Jharkhand,11/2017,11/2017,,03/2023,02/2027,18668.0,20302.0,18359.0,88.0,Electricity Generation
174,611509,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand",(Damodar Valley Corporation),Jharkhand,04/2023,11/2024,,03/2029,-,14358.0,14358.0,1744.26,10.0,Electricity Generation
175,618976,"Gadarwara Super Thermal Power Project, Stage-II [2x800 MW]",(National Thermal Power Corporation [NTPC]),Madhya Pradesh,11/2024,05/2025,,03/2030,-,20446.0,20446.0,1294.64,5.0,Electricity Generation
176,180100221,Subansiri Lower HE Project [2000 MW] (National Hydroelectric Power Corporation Limited [NHPC]),(602096),"Multi-States (Arunachal Pradesh, Assam)",09/2003,01/2005,,09/2010,05/2026,6285.33,26075.5,26023.91,97.0,Electricity Generation
177,602961,Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion,(National Thermal Power Corporation [NTPC]),Odisha,08/2022,09/2022,,05/2027,03/2028,11843.75,12543.0,5770.33,46.0,Electricity Generation
178,602181,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",(National Hydroelectric Power Corporation Limited [NHPC]),Sikkim,03/2019,03/2020,,03/2024,12/2027,5748.04,5748.04,4166.7,71.0,Electricity Generation
179,605156,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,(National Hydroelectric Power Corporation Limited [NHPC]),Sikkim,03/2021,08/2021,,05/2024,12/2025,938.29,1828.11,1616.82,95.0,Electricity Generation
180,612142,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]",(National Thermal Power Corporation [NTPC]),Uttar Pradesh,03/2024,03/2024,,02/2030,-,17195.0,17195.0,2572.87,16.0,Electricity Generation
181,602185,Tapovan-Vishnugad HEP [4x130 MW],(National Thermal Power Corporation [NTPC]),Uttarakhand,11/2006,11/2006,,03/2013,04/2029,2978.0,10907.3,7490.08,77.0,Electricity Generation
182,602193,Tehri Pumped Storage Plant Project [4x250 MW],(THDC India Limited),Uttarakhand,07/2006,06/2011,,06/2022,03/2026,4825.6,8339.0,8213.03,99.0,Electricity Generation
183,602195,Vishnugad Pipalkoti Hydro Electric Project [444 MW],(THDC India Limited),Uttarakhand,08/2008,01/2014,,12/2022,09/2027,3860.35,6405.08,5231.6,77.0,Electricity Generation
184,400062,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",(Damodar Valley Corporation),West Bengal,01/2023,02/2025,,06/2029,-,17673.0,17673.0,1594.35,8.0,Electricity Generation
185,602184,Rammam-III HEPP [3x40 MW],(National Thermal Power Corporation [NTPC]),West Bengal,09/2014,09/2014,,09/2019,03/2029,1381.84,2865.56,1512.95,53.0,Electricity Generation
186,602538,Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6,(Damodar Valley Corporation),West Bengal,06/2019,02/2021,,01/2024,05/2026,1037.0,1106.0,1127.75,95.0,Electricity Generation
187,611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,(Power Grid Corporation of India Limited [POWERGRID]),Andhra Pradesh,09/2023,09/2023,,09/2025,03/2026,1248.69,1248.69,1173.76,96.0,Transmission & Distribution
188,612856,Augmentation of 1x1500 MVA 3rd 765/400 kV transformation capacity at Kurnool New Substation,(Power Grid Corporation of India Limited [POWERGRID]),Andhra Pradesh,05/2023,12/2023,,09/2025,03/2026,163.61,163.61,145.61,91.0,Transmission & Distribution
189,617183,Transmission system strengthening at Kurnool- III PS for integration of additional RE generation projects [POWERGRID Kurnool III PS RE Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Andhra Pradesh,03/2025,03/2025,,12/2027,-,2886.0,2886.0,432.9,17.0,Transmission & Distribution
190,617375,North Eastern Region Expansion Scheme-XXIII [NERES-XXIII],(Power Grid Corporation of India Limited [POWERGRID]),Arunachal Pradesh,08/2025,08/2025,,02/2028,-,209.38,209.38,2.09,1.0,Transmission & Distribution
191,612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,12/2023,12/2023,,12/2025,12/2026,3751.82,3751.82,2176.05,50.0,Transmission & Distribution
192,612151,Transmission System for Evacuation of Power from potential Renewable Energy zone in Khavda Area of Gujarat under Phase IV [7 GW] Part E3,(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,07/2023,07/2023,,07/2025,03/2026,334.0,334.0,297.26,93.0,Transmission & Distribution
193,612855,Transmission System for Evacuation of Power from Potential Energy Renewable Zone in Khavda Area of Gujarat under Ph-IV [7GW] Part E2,(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,05/2024,05/2024,,05/2026,06/2026,679.0,679.0,244.44,38.0,Transmission & Distribution
194,615342,Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name POWERGRID Jam Khambhaliya Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,10/2024,10/2024,,07/2026,-,329.0,329.0,18.1,6.0,Transmission & Distribution
195,615343,Provision of Dynamic Reactive Compensation at Khavda pooling Station 1 [KPS1] and Khavda Pooling station 3 [KPS3],(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,11/2024,11/2024,,11/2026,-,501.0,501.0,15.03,4.0,Transmission & Distribution
196,615345,Transmission System for Evacuation of Power from Potential Renewable Energy Zone in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID South Olpad Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,10/2024,10/2024,,10/2026,03/2027,4766.0,4766.0,1143.84,19.0,Transmission & Distribution
197,617069,Augmentation of Transformation Capacity at KPS1 [GIS] and KPS2 [GIS] [Phase-V Part B1 and Part B2 Scheme] [SPV Name- POWERGRID KPS1 and 2 Augmentation Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,02/2025,02/2025,,02/2027,-,466.0,466.0,41.94,10.0,Transmission & Distribution
198,617182,Augmentation of Banaskantha [Raghanesda] PS [GIS] [POWERGRID Banaskantha Transco Limited],(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,03/2025,03/2025,,03/2027,-,172.0,172.0,39.56,27.0,Transmission & Distribution
199,617391,Augmentation of Transformation Capacity at Bhuj-II PS [GIS],(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,02/2025,02/2025,,11/2026,03/2027,488.29,488.29,4.88,1.0,Transmission & Distribution
200,617405,Jamnagar Transmission Limited,(Adani Transmission Limited),Gujarat,,10/2024,,10/2026,-,4000.0,4000.0,268.0,16.0,Transmission & Distribution
201,617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,03/2025,03/2025,,12/2026,03/2027,581.74,581.74,5.81,1.0,Transmission & Distribution
202,619026,KPSIII HVDC Transmission Limited,(Adani Transmission Limited),Gujarat,,12/2025,,12/2029,-,19000.0,19000.0,0.0,0.0,Transmission & Distribution
203,619029,Transmission System for Reliable Power Supply to Dholera,(Power Grid Corporation of India Limited [POWERGRID]),Gujarat,09/2024,09/2024,,03/2026,09/2026,319.42,319.42,19.16,9.0,Transmission & Distribution
204,619049,Khavda IVA Power Transmission Limited,(Adani Transmission Limited),Gujarat,08/2024,08/2024,,08/2026,-,4500.0,4500.0,1876.33,55.0,Transmission & Distribution
205,617272,Implementation of LILO of both circuits of 400KV vindhyachal PS-Sasan D/C Line at Hindalco Switchyard,(Power Grid Corporation of India Limited [POWERGRID]),Haryana,06/2024,06/2024,,12/2026,-,370.0,370.0,77.7,24.0,Transmission & Distribution
206,617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,(Power Grid Corporation of India Limited [POWERGRID]),Jammu and Kashmir,07/2024,07/2024,,07/2026,03/2027,218.6,218.6,3.28,1.0,Transmission & Distribution
207,617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,(Power Grid Corporation of India Limited [POWERGRID]),Jharkhand,02/2012,02/2012,,03/2026,08/2026,1842.25,1842.25,1648.05,95.0,Transmission & Distribution
208,612140,Transmission Scheme for Integration of Renewable Energy Zone [Phase II] in Koppal II [Phase A&B] and gadag II[Phase A] in Karnataka [POWERGRID KOPPAL GADAG TRANSMISSION LIMITED],(Power Grid Corporation of India Limited [POWERGRID]),Karnataka,12/2023,12/2023,,12/2025,06/2026,2889.39,2889.39,2080.36,76.0,Transmission & Distribution
209,616672,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Karnataka,01/2025,01/2025,,06/2027,-,1354.0,1354.0,148.94,13.0,Transmission & Distribution
210,617068,"Augmentation of Transformation Capacity by 3x500 MVA, 400/220 KV ICTS [6th-8th] and 1x1500 MVA, 765/400 KV ICT [4th] at Bidar PS [SPV Name- POWERGRID Bidar Augmentation Transmission Limited]",(Power Grid Corporation of India Limited [POWERGRID]),Karnataka,02/2025,02/2025,,06/2027,-,288.0,288.0,11.52,4.0,Transmission & Distribution
211,617184,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Karnataka,03/2025,03/2025,,09/2027,-,3453.0,3453.0,276.24,9.0,Transmission & Distribution
212,617803,Transmission System Strengthening at Davanagere for Integration of RE Generation [SPV Name - POWERGRID Davanagere Power Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Karnataka,09/2025,09/2025,,09/2027,-,379.0,379.0,15.16,2.0,Transmission & Distribution
213,619028,Augmentation of 1x500 MVA 400/220kV ICT [3rd] at Thrissur VSC HVDC Station in Kerala,(Power Grid Corporation of India Limited [POWERGRID]),Kerala,08/2025,08/2025,,08/2027,-,173.14,173.14,1.73,1.0,Transmission & Distribution
214,615344,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5GW] [Jaisalmer/Barmer Complex] Part H1 [POWERGRID KURAWAR TRANSMISSION LIMITED],(Power Grid Corporation of India Limited [POWERGRID]),Madhya Pradesh,10/2024,10/2024,,10/2026,03/2027,3674.0,3674.0,1285.9,31.0,Transmission & Distribution
215,615346,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5 GW] [Jaisalmer/Barmer Complex] Part C [SPV Name POWERGRID Mandsaur Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Madhya Pradesh,08/2024,08/2024,,08/2026,12/2026,2708.0,2708.0,1272.76,52.0,Transmission & Distribution
216,617279,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Madhya Pradesh,06/2025,06/2025,,12/2027,-,558.0,558.0,39.06,4.0,Transmission & Distribution
217,617802,Augmentation of Transformation Capacity and Implementation of Line Bays at Mandsaur S/S for RE Interconnection [SPV Name- POWERGRID Mandsaur I RE Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),Madhya Pradesh,10/2025,10/2025,,03/2028,-,319.0,319.0,9.57,2.0,Transmission & Distribution
218,619024,Mahan Transmission Limited,(Adani Transmission Limited),Madhya Pradesh,03/2025,03/2025,,04/2027,-,3125.32,3125.32,50.79,12.0,Transmission & Distribution
219,611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,(Power Grid Corporation of India Limited [POWERGRID]),Maharashtra,11/2023,11/2023,,07/2025,03/2026,224.41,224.41,161.57,74.0,Transmission & Distribution
220,619027,WRNES Talegaon Power Transmission Limited,(Adani Transmission Limited),Maharashtra,,05/2025,,01/2028,-,2000.0,2000.0,0.0,5.0,Transmission & Distribution
221,617185,Transmission System for Integration of Kurnool-IV REZ Phase-I [for 4.5 GW] [POWERGRID Kurnool-IV Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Andhra Pradesh, Karnataka)",03/2025,03/2025,,03/2027,-,5550.0,5550.0,832.5,12.0,Transmission & Distribution
222,617806,Transmission System for Integration of Ananthapur 2 REZ Phase 1 for 4.5 GW. SPV Name Anantapuram 2 REZ Transmission Ltd,(Sterlite Power),"Multi-States (Andhra Pradesh, Karnataka)",08/2024,03/2025,,03/2027,-,4535.99,4535.99,677.57,40.0,Transmission & Distribution
223,619030,Inter-Regional Strengthening between SR Grid and ER Grid,(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Andhra Pradesh, Odisha)",02/2026,02/2026,,08/2028,-,2722.5,2722.5,2.7,0.0,Transmission & Distribution
224,900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone Part-A and Part-B,(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Andhra Pradesh, Telangana)",11/2022,03/2023,,11/2024,03/2026,3546.94,3546.94,3511.47,99.0,Transmission & Distribution
225,602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Arunachal Pradesh, Sikkim)",10/2014,10/2014,,12/2018,03/2027,4754.42,9129.32,7951.63,83.0,Transmission & Distribution
226,607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Assam, Manipur, Meghalaya, Mizoram, Nagaland, Tripura)",12/2014,03/2016,,12/2018,03/2026,5111.33,6700.0,5506.73,96.0,Transmission & Distribution
227,617271,Eastern Region Expansion Scheme-43 [ERES-43],(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Bihar, Odisha, West Bengal)",09/2024,09/2024,,03/2026,06/2026,342.69,342.69,61.3,21.0,Transmission & Distribution
228,617807,Inter-regional [NR-WR] Transmission System strengthening to relieve the loading of 765 kV Vindhyachal-Varanasi D/c line,(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Bihar, Uttar Pradesh)",10/2025,10/2025,,10/2027,-,2368.0,2368.0,23.68,1.0,Transmission & Distribution
229,617270,Eastern Region Expansion Scheme-44 [ERES-44],(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Bihar, West Bengal)",11/2024,11/2024,,05/2026,03/2027,408.94,408.94,4.09,1.0,Transmission & Distribution
230,400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",01/2022,07/2022,,06/2023,05/2026,4546.26,4546.26,4500.79,98.0,Transmission & Distribution
231,611735,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part J,(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Delhi, Rajasthan)",12/2022,12/2022,,03/2025,07/2026,331.0,331.0,152.36,43.0,Transmission & Distribution
232,612132,Transmission Scheme for Evacuation of power from REZ in Rajasthan [20 GW] under Phase-III Part D Phase I [Sikar Khetri Transmission Ltd],(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Delhi, Rajasthan)",02/2024,02/2024,,08/2025,06/2026,2000.0,2000.0,1610.0,82.0,Transmission & Distribution
233,615347,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V [8 GW] PART A [SPV Name POWERGRID West Central Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Gujarat, Maharashtra)",11/2024,11/2024,,05/2029,-,24819.0,24819.0,2233.71,7.0,Transmission & Distribution
234,615339,Transmission system for evacuation of power from Rajasthan REZ Ph-IV [Part- 3/6GW] [Bikaner complex] Part A [SPV Name POWERGRID Bikaner IV Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Haryana, Punjab, Rajasthan)",11/2024,11/2024,,11/2026,03/2027,5969.0,5969.0,1074.42,19.0,Transmission & Distribution
235,615340,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3/ 6 GW] [BIKANER COMPLEX] PART B [SPV Name POWERGRID Siwani Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Haryana, Rajasthan)",11/2024,11/2024,,11/2026,03/2027,5357.0,5357.0,1232.11,24.0,Transmission & Distribution
236,617808,Inter-Regional Strengthening between SR Grid and WR Grid,(Power Grid Corporation of India Limited [POWERGRID]),"Multi-States (Karnataka, Maharashtra)",10/2025,10/2025,,10/2027,-,1007.0,1007.0,15.1,2.0,Transmission & Distribution
